version,1.7.0
info,balls_per_over,6
info,team,Kurunegala Youth Cricket Club
info,team,Nugegoda Sports Welfare Club
info,gender,male
info,season,2025
info,date,2025/07/17
info,event,Major Clubs Limited Over Tournament
info,venue,"Welagedara Stadium, Kurunegala"
info,city,Kurunegala
info,toss_uncontested,true
info,toss_winner,Nugegoda Sports Welfare Club
info,toss_decision,field
info,umpire,KADA Nanayakkara
info,umpire,UILD Wewage
info,reserve_umpire,N Rafeel
info,match_referee,R Punchihewa
info,winner,Kurunegala Youth Cricket Club
info,winner_runs,42
info,player,Kurunegala Youth Cricket Club,TD Polgampola
info,player,Kurunegala Youth Cricket Club,LK Fransisco
info,player,Kurunegala Youth Cricket Club,A Premaratne
info,player,Kurunegala Youth Cricket Club,A Thennakoon
info,player,Kurunegala Youth Cricket Club,R Madushanka
info,player,Kurunegala Youth Cricket Club,G Weerasinghe
info,player,Kurunegala Youth Cricket Club,DT Wijesinghe
info,player,Kurunegala Youth Cricket Club,Vathila Udara
info,player,Kurunegala Youth Cricket Club,WVD Seneviratne
info,player,Kurunegala Youth Cricket Club,S Dangamuwa
info,player,Kurunegala Youth Cricket Club,D Tennakoon
info,player,Nugegoda Sports Welfare Club,P Pathum
info,player,Nugegoda Sports Welfare Club,Tillakaratne Sampath
info,player,Nugegoda Sports Welfare Club,A Muthalib
info,player,Nugegoda Sports Welfare Club,Kevin Perera
info,player,Nugegoda Sports Welfare Club,NR Gunasekera
info,player,Nugegoda Sports Welfare Club,LPPM Kumara
info,player,Nugegoda Sports Welfare Club,D Manchanayake
info,player,Nugegoda Sports Welfare Club,BGS Mendis
info,player,Nugegoda Sports Welfare Club,SU Ishak
info,player,Nugegoda Sports Welfare Club,HGK Dilshan
info,player,Nugegoda Sports Welfare Club,M Heshan
info,registry,people,A Muthalib,c08bdbbe
info,registry,people,A Premaratne,5584885b
info,registry,people,A Thennakoon,ba8e52ea
info,registry,people,BGS Mendis,29a1e487
info,registry,people,D Manchanayake,b8ef67a0
info,registry,people,D Tennakoon,f1e86c3f
info,registry,people,DT Wijesinghe,32ef8b08
info,registry,people,G Weerasinghe,77f60c02
info,registry,people,HGK Dilshan,519a99ad
info,registry,people,KADA Nanayakkara,9ee551f5
info,registry,people,Kevin Perera,e88e6a14
info,registry,people,LK Fransisco,48076638
info,registry,people,LPPM Kumara,24f8d27b
info,registry,people,M Heshan,203b6a40
info,registry,people,N Rafeel,1c74fc69
info,registry,people,NR Gunasekera,88781812
info,registry,people,P Pathum,461bde69
info,registry,people,R Madushanka,a45a92b0
info,registry,people,R Punchihewa,dd7477cb
info,registry,people,S Dangamuwa,0538bbaa
info,registry,people,SU Ishak,ce005284
info,registry,people,TD Polgampola,b75b09a8
info,registry,people,Tillakaratne Sampath,dc002962
info,registry,people,UILD Wewage,6a58b590
info,registry,people,Vathila Udara,6bc91087
info,registry,people,WVD Seneviratne,a822c6fb
ball,1,0.1,Kurunegala Youth Cricket Club,TD Polgampola,LK Fransisco,Tillakaratne Sampath,0,0,,,,,,"",""
ball,1,0.2,Kurunegala Youth Cricket Club,TD Polgampola,LK Fransisco,Tillakaratne Sampath,0,0,,,,,,"",""
ball,1,0.3,Kurunegala Youth Cricket Club,TD Polgampola,LK Fransisco,Tillakaratne Sampath,1,0,,,,,,"",""
ball,1,0.4,Kurunegala Youth Cricket Club,LK Fransisco,TD Polgampola,Tillakaratne Sampath,0,0,,,,,,"",""
ball,1,0.5,Kurunegala Youth Cricket Club,LK Fransisco,TD Polgampola,Tillakaratne Sampath,0,0,,,,,,"",""
ball,1,0.6,Kurunegala Youth Cricket Club,LK Fransisco,TD Polgampola,Tillakaratne Sampath,0,0,,,,,,"",""
ball,1,1.1,Kurunegala Youth Cricket Club,TD Polgampola,LK Fransisco,SU Ishak,2,0,,,,,,"",""
ball,1,1.2,Kurunegala Youth Cricket Club,TD Polgampola,LK Fransisco,SU Ishak,0,1,1,,,,,"",""
ball,1,1.3,Kurunegala Youth Cricket Club,TD Polgampola,LK Fransisco,SU Ishak,0,0,,,,,,"",""
ball,1,1.4,Kurunegala Youth Cricket Club,TD Polgampola,LK Fransisco,SU Ishak,0,0,,,,,,"",""
ball,1,1.5,Kurunegala Youth Cricket Club,TD Polgampola,LK Fransisco,SU Ishak,0,0,,,,,,"",""
ball,1,1.6,Kurunegala Youth Cricket Club,TD Polgampola,LK Fransisco,SU Ishak,1,0,,,,,,"",""
ball,1,1.7,Kurunegala Youth Cricket Club,LK Fransisco,TD Polgampola,SU Ishak,0,0,,,,,,"",""
ball,1,2.1,Kurunegala Youth Cricket Club,TD Polgampola,LK Fransisco,Tillakaratne Sampath,1,0,,,,,,"",""
ball,1,2.2,Kurunegala Youth Cricket Club,LK Fransisco,TD Polgampola,Tillakaratne Sampath,0,0,,,,,,"",""
ball,1,2.3,Kurunegala Youth Cricket Club,LK Fransisco,TD Polgampola,Tillakaratne Sampath,1,0,,,,,,"",""
ball,1,2.4,Kurunegala Youth Cricket Club,TD Polgampola,LK Fransisco,Tillakaratne Sampath,0,0,,,,,,"",""
ball,1,2.5,Kurunegala Youth Cricket Club,TD Polgampola,LK Fransisco,Tillakaratne Sampath,0,0,,,,,,"",""
ball,1,2.6,Kurunegala Youth Cricket Club,TD Polgampola,LK Fransisco,Tillakaratne Sampath,0,0,,,,,,"",""
ball,1,3.1,Kurunegala Youth Cricket Club,LK Fransisco,TD Polgampola,SU Ishak,0,0,,,,,,"",""
ball,1,3.2,Kurunegala Youth Cricket Club,LK Fransisco,TD Polgampola,SU Ishak,2,0,,,,,,"",""
ball,1,3.3,Kurunegala Youth Cricket Club,LK Fransisco,TD Polgampola,SU Ishak,0,0,,,,,,"",""
