version,1.7.0
info,balls_per_over,6
info,team,Leicestershire
info,team,Nottinghamshire
info,gender,male
info,season,2022
info,date,2022/06/12
info,date,2022/06/13
info,date,2022/06/14
info,date,2022/06/15
info,event,County Championship
info,match_number,28
info,venue,"Grace Road, Leicester"
info,city,Leicester
info,toss_winner,Nottinghamshire
info,toss_decision,field
info,umpire,Chris Watts
info,umpire,RJ Warren
info,match_referee,SJ Davis
info,winner,Nottinghamshire
info,winner_innings,1
info,winner_runs,9
info,player,Leicestershire,Hassan Azad
info,player,Leicestershire,RK Patel
info,player,Leicestershire,LJ Hill
info,player,Leicestershire,CN Ackermann
info,player,Leicestershire,PWA Mulder
info,player,Leicestershire,LPJ Kimber
info,player,Leicestershire,HJ Swindells
info,player,Leicestershire,BWM Mike
info,player,Leicestershire,CF Parkinson
info,player,Leicestershire,CJC Wright
info,player,Leicestershire,WS Davis
info,player,Leicestershire,NR Welch
info,player,Nottinghamshire,BT Slater
info,player,Nottinghamshire,H Hameed
info,player,Nottinghamshire,BM Duckett
info,player,Nottinghamshire,JM Clarke
info,player,Nottinghamshire,LW James
info,player,Nottinghamshire,SJ Mullaney
info,player,Nottinghamshire,TJ Moores
info,player,Nottinghamshire,LA Patterson-White
info,player,Nottinghamshire,JL Pattinson
info,player,Nottinghamshire,BA Hutton
info,player,Nottinghamshire,D Paterson
info,registry,people,BA Hutton,b3544c5d
info,registry,people,BM Duckett,5f26f677
info,registry,people,BT Slater,c5f1d2a1
info,registry,people,BWM Mike,ed12fcd7
info,registry,people,CF Parkinson,aa1210d8
info,registry,people,CJC Wright,6c908ffc
info,registry,people,CN Ackermann,e734d090
info,registry,people,Chris Watts,3cfb1554
info,registry,people,D Paterson,462d7c62
info,registry,people,H Hameed,fe0c5457
info,registry,people,HJ Swindells,95fd757d
info,registry,people,Hassan Azad,b9c7596f
info,registry,people,JL Pattinson,f752db61
info,registry,people,JM Clarke,2eca67f5
info,registry,people,LA Patterson-White,d48c0f40
info,registry,people,LJ Hill,35f9a295
info,registry,people,LPJ Kimber,9f812582
info,registry,people,LW James,2baad3bd
info,registry,people,NR Welch,74c6c6e0
info,registry,people,PWA Mulder,c96f6ac5
info,registry,people,RJ Warren,9d1c62d7
info,registry,people,RK Patel,4531f249
info,registry,people,SJ Davis,bc71b0b2
info,registry,people,SJ Mullaney,0e0d43b4
info,registry,people,TJ Moores,85dcb721
info,registry,people,WS Davis,078ffbf2
ball,1,0.1,Leicestershire,Hassan Azad,RK Patel,BA Hutton,0,0,,,,,,"",""
ball,1,0.2,Leicestershire,Hassan Azad,RK Patel,BA Hutton,1,0,,,,,,"",""
ball,1,0.3,Leicestershire,RK Patel,Hassan Azad,BA Hutton,0,0,,,,,,"",""
ball,1,0.4,Leicestershire,RK Patel,Hassan Azad,BA Hutton,0,0,,,,,,"",""
ball,1,0.5,Leicestershire,RK Patel,Hassan Azad,BA Hutton,0,0,,,,,,"",""
ball,1,0.6,Leicestershire,RK Patel,Hassan Azad,BA Hutton,0,0,,,,,,"",""
ball,1,1.1,Leicestershire,Hassan Azad,RK Patel,JL Pattinson,0,0,,,,,,"",""
ball,1,1.2,Leicestershire,Hassan Azad,RK Patel,JL Pattinson,4,0,,,,,,"",""
ball,1,1.3,Leicestershire,Hassan Azad,RK Patel,JL Pattinson,0,0,,,,,,"",""
ball,1,1.4,Leicestershire,Hassan Azad,RK Patel,JL Pattinson,0,0,,,,,,caught,Hassan Azad
ball,1,1.5,Leicestershire,LJ Hill,RK Patel,JL Pattinson,0,0,,,,,,"",""
ball,1,1.6,Leicestershire,LJ Hill,RK Patel,JL Pattinson,4,0,,,,,,"",""
ball,1,2.1,Leicestershire,RK Patel,LJ Hill,BA Hutton,0,0,,,,,,"",""
ball,1,2.2,Leicestershire,RK Patel,LJ Hill,BA Hutton,0,0,,,,,,"",""
ball,1,2.3,Leicestershire,RK Patel,LJ Hill,BA Hutton,0,0,,,,,,"",""
ball,1,2.4,Leicestershire,RK Patel,LJ Hill,BA Hutton,0,0,,,,,,"",""
ball,1,2.5,Leicestershire,RK Patel,LJ Hill,BA Hutton,4,0,,,,,,"",""
ball,1,2.6,Leicestershire,RK Patel,LJ Hill,BA Hutton,0,0,,,,,,"",""
ball,1,3.1,Leicestershire,LJ Hill,RK Patel,JL Pattinson,0,0,,,,,,"",""
ball,1,3.2,Leicestershire,LJ Hill,RK Patel,JL Pattinson,0,0,,,,,,"",""
ball,1,3.3,Leicestershire,LJ Hill,RK Patel,JL Pattinson,0,0,,,,,,"",""
ball,1,3.4,Leicestershire,LJ Hill,RK Patel,JL Pattinson,2,0,,,,,,"",""
ball,1,3.5,Leicestershire,LJ Hill,RK Patel,JL Pattinson,0,0,,,,,,"",""
ball,1,3.6,Leicestershire,LJ Hill,RK Patel,JL Pattinson,0,0,,,,,,"",""
