version,1.7.0
info,balls_per_over,6
info,team,Gujarat
info,team,Bengal
info,gender,male
info,season,2018/19
info,date,2019/03/12
info,event,Syed Mushtaq Ali Trophy
info,venue,Holkar Stadium
info,city,
info,toss_winner,Gujarat
info,toss_decision,bat
info,winner,Bengal
info,winner_wickets,7
info,player,Gujarat,PA Patel
info,player,Gujarat,Priyank Panchal
info,player,Gujarat,Piyush Tanwar
info,player,Gujarat,Chirag Gandhi
info,player,Gujarat,AR Patel
info,player,Gujarat,Karan Patel
info,player,Gujarat,KB Panchal
info,player,Gujarat,PP Chawla
info,player,Gujarat,Hemang Patel
info,player,Gujarat,Jayveer Parmar
info,player,Gujarat,A Nagwaswalla
info,player,Bengal,AB Dinda
info,player,Bengal,Akash Deep
info,player,Bengal,Shahbaz Ahmed
info,player,Bengal,Writtick Chatterjee
info,player,Bengal,Sayan Ghosh
info,player,Bengal,MK Tiwary
info,player,Bengal,Ayan Bhattacharjee
info,player,Bengal,SP Goswami
info,player,Bengal,WP Saha
info,player,Bengal,AR Easwaran
info,player,Bengal,Vivek Singh
info,registry,people,A Nagwaswalla,01ada0ed
info,registry,people,AB Dinda,66b30f71
info,registry,people,AR Easwaran,10b58586
info,registry,people,AR Patel,2e171977
info,registry,people,Akash Deep,0a67aec0
info,registry,people,Ayan Bhattacharjee,bae68b09
info,registry,people,Chirag Gandhi,35eb75af
info,registry,people,Hemang Patel,59c8c5b5
info,registry,people,Jayveer Parmar,f9346e2a
info,registry,people,KB Panchal,eae999f9
info,registry,people,Karan Patel,a18da10f
info,registry,people,MK Tiwary,26e5cabf
info,registry,people,PA Patel,b5da6c24
info,registry,people,PP Chawla,98ae73b1
info,registry,people,Piyush Tanwar,9c53babc
info,registry,people,Priyank Panchal,ebf25cf2
info,registry,people,SP Goswami,541f85c9
info,registry,people,Sayan Ghosh,d4b8ea98
info,registry,people,Shahbaz Ahmed,f9e6e7ef
info,registry,people,Vivek Singh,a446c7be
info,registry,people,WP Saha,fe11caa6
info,registry,people,Writtick Chatterjee,a00e1842
ball,1,0.1,Gujarat,PA Patel,Priyank Panchal,AB Dinda,2,0,,,,,,"",""
ball,1,0.2,Gujarat,PA Patel,Priyank Panchal,AB Dinda,4,0,,,,,,"",""
ball,1,0.3,Gujarat,PA Patel,Priyank Panchal,AB Dinda,0,0,,,,,,run out,PA Patel
ball,1,0.4,Gujarat,Priyank Panchal,Piyush Tanwar,AB Dinda,0,0,,,,,,"",""
ball,1,0.5,Gujarat,Priyank Panchal,Piyush Tanwar,AB Dinda,4,0,,,,,,"",""
ball,1,0.6,Gujarat,Priyank Panchal,Piyush Tanwar,AB Dinda,0,0,,,,,,"",""
ball,1,1.1,Gujarat,Piyush Tanwar,Priyank Panchal,Akash Deep,0,0,,,,,,"",""
ball,1,1.2,Gujarat,Piyush Tanwar,Priyank Panchal,Akash Deep,0,0,,,,,,"",""
ball,1,1.3,Gujarat,Piyush Tanwar,Priyank Panchal,Akash Deep,4,0,,,,,,"",""
ball,1,1.4,Gujarat,Piyush Tanwar,Priyank Panchal,Akash Deep,0,0,,,,,,"",""
ball,1,1.5,Gujarat,Piyush Tanwar,Priyank Panchal,Akash Deep,4,0,,,,,,"",""
ball,1,1.6,Gujarat,Piyush Tanwar,Priyank Panchal,Akash Deep,1,0,,,,,,"",""
ball,1,2.1,Gujarat,Piyush Tanwar,Priyank Panchal,Shahbaz Ahmed,1,0,,,,,,"",""
ball,1,2.2,Gujarat,Priyank Panchal,Piyush Tanwar,Shahbaz Ahmed,1,0,,,,,,"",""
ball,1,2.3,Gujarat,Piyush Tanwar,Priyank Panchal,Shahbaz Ahmed,0,0,,,,,,"",""
ball,1,2.4,Gujarat,Piyush Tanwar,Priyank Panchal,Shahbaz Ahmed,4,0,,,,,,"",""
ball,1,2.5,Gujarat,Piyush Tanwar,Priyank Panchal,Shahbaz Ahmed,0,0,,,,,,"",""
ball,1,2.6,Gujarat,Piyush Tanwar,Priyank Panchal,Shahbaz Ahmed,1,0,,,,,,"",""
