version,1.7.0
info,balls_per_over,6
info,team,Otago Volts
info,team,Auckland Aces
info,gender,male
info,season,2014/15
info,date,2015/04/01
info,date,2015/04/02
info,date,2015/04/03
info,date,2015/04/04
info,event,Plunket Shield
info,venue,"Colin Maiden Park, Auckland"
info,city,Auckland
info,toss_winner,Auckland Aces
info,toss_decision,field
info,umpire,PD Jones
info,umpire,AL Gillies
info,match_referee,DB Cowie
info,winner,Auckland Aces
info,winner_wickets,6
info,player,Auckland Aces,JA Raval
info,player,Auckland Aces,ML Guptill-Bunce
info,player,Auckland Aces,Carl Cachopa
info,player,Auckland Aces,RR O'Donnell
info,player,Auckland Aces,DJ Grobbelaar
info,player,Auckland Aces,B Cachopa
info,player,Auckland Aces,TS Nethula
info,player,Auckland Aces,MD Bates
info,player,Auckland Aces,AK Kitchen
info,player,Auckland Aces,MR Quinn
info,player,Auckland Aces,LH Ferguson
info,player,Otago Volts,AJ Redmond
info,player,Otago Volts,HD Rutherford
info,player,Otago Volts,MG Bracewell
info,player,Otago Volts,RM Duffy
info,player,Otago Volts,JL Finnie
info,player,Otago Volts,DC de Boorder
info,player,Otago Volts,RF Badenhorst
info,player,Otago Volts,N Wagner
info,player,Otago Volts,CM Smith
info,player,Otago Volts,RM Phillips
info,player,Otago Volts,JA Duffy
info,registry,people,AJ Redmond,48f177f5
info,registry,people,AK Kitchen,63a1874a
info,registry,people,AL Gillies,1a1f45a4
info,registry,people,B Cachopa,e9a44f08
info,registry,people,CM Smith,61c03e7d
info,registry,people,Carl Cachopa,7112662b
info,registry,people,DB Cowie,36931357
info,registry,people,DC de Boorder,bf573bfd
info,registry,people,DJ Grobbelaar,52d11798
info,registry,people,GD Phillips,9a46c4e5
info,registry,people,HD Rutherford,0605de92
info,registry,people,JA Duffy,dadbdb68
info,registry,people,JA Raval,5f966ec0
info,registry,people,JL Finnie,1ccf9e7e
info,registry,people,LH Ferguson,2f9d0389
info,registry,people,MD Bates,1b3acd33
info,registry,people,MG Bracewell,e38bce7a
info,registry,people,ML Guptill-Bunce,9f86e380
info,registry,people,MR Quinn,b082d112
info,registry,people,N Wagner,78adc879
info,registry,people,PD Jones,169be239
info,registry,people,RF Badenhorst,b826908f
info,registry,people,RM Duffy,37fa7ef6
info,registry,people,RM Phillips,37d0c8b3
info,registry,people,RR O'Donnell,2742086d
info,registry,people,TS Nethula,e82dc4c5
ball,1,0.1,Otago Volts,AJ Redmond,HD Rutherford,MR Quinn,4,0,,,,,,"",""
ball,1,0.2,Otago Volts,AJ Redmond,HD Rutherford,MR Quinn,4,0,,,,,,"",""
ball,1,0.3,Otago Volts,AJ Redmond,HD Rutherford,MR Quinn,0,0,,,,,,"",""
ball,1,0.4,Otago Volts,AJ Redmond,HD Rutherford,MR Quinn,1,0,,,,,,"",""
ball,1,0.5,Otago Volts,HD Rutherford,AJ Redmond,MR Quinn,0,0,,,,,,"",""
ball,1,0.6,Otago Volts,HD Rutherford,AJ Redmond,MR Quinn,0,0,,,,,,"",""
ball,1,1.1,Otago Volts,AJ Redmond,HD Rutherford,MD Bates,0,0,,,,,,"",""
ball,1,1.2,Otago Volts,AJ Redmond,HD Rutherford,MD Bates,0,0,,,,,,"",""
ball,1,1.3,Otago Volts,AJ Redmond,HD Rutherford,MD Bates,0,0,,,,,,"",""
ball,1,1.4,Otago Volts,AJ Redmond,HD Rutherford,MD Bates,0,0,,,,,,"",""
ball,1,1.5,Otago Volts,AJ Redmond,HD Rutherford,MD Bates,0,0,,,,,,"",""
ball,1,1.6,Otago Volts,AJ Redmond,HD Rutherford,MD Bates,2,0,,,,,,"",""
ball,1,2.1,Otago Volts,HD Rutherford,AJ Redmond,MR Quinn,0,0,,,,,,"",""
ball,1,2.2,Otago Volts,HD Rutherford,AJ Redmond,MR Quinn,0,0,,,,,,"",""
ball,1,2.3,Otago Volts,HD Rutherford,AJ Redmond,MR Quinn,0,0,,,,,,"",""
ball,1,2.4,Otago Volts,HD Rutherford,AJ Redmond,MR Quinn,0,0,,,,,,"",""
ball,1,2.5,Otago Volts,HD Rutherford,AJ Redmond,MR Quinn,2,0,,,,,,"",""
ball,1,2.6,Otago Volts,HD Rutherford,AJ Redmond,MR Quinn,0,0,,,,,,"",""
ball,1,3.1,Otago Volts,AJ Redmond,HD Rutherford,MD Bates,0,0,,,,,,"",""
ball,1,3.2,Otago Volts,AJ Redmond,HD Rutherford,MD Bates,0,0,,,,,,"",""
ball,1,3.3,Otago Volts,AJ Redmond,HD Rutherford,MD Bates,4,0,,,,,,"",""
ball,1,3.4,Otago Volts,AJ Redmond,HD Rutherford,MD Bates,1,0,,,,,,"",""
ball,1,3.5,Otago Volts,HD Rutherford,AJ Redmond,MD Bates,1,0,,,,,,"",""
