version,1.7.0
info,balls_per_over,6
info,team,Sunrisers Eastern Cape
info,team,Joburg Super Kings
info,gender,male
info,season,2025/26
info,date,2026/01/14
info,event,SA20
info,match_number,24
info,venue,"St George's Park, Gqeberha"
info,city,Gqeberha
info,toss_winner,Joburg Super Kings
info,toss_decision,field
info,player_of_match,JM Coles
info,umpire,A Jacobs
info,umpire,Stephen Harris
info,reserve_umpire,A Olivier
info,tv_umpire,Lauren Agenbag
info,match_referee,SA Fritz
info,winner,Sunrisers Eastern Cape
info,winner_runs,61
info,player,Sunrisers Eastern Cape,JM Bairstow
info,player,Sunrisers Eastern Cape,Q de Kock
info,player,Sunrisers Eastern Cape,MP Breetzke
info,player,Sunrisers Eastern Cape,J Hermann
info,player,Sunrisers Eastern Cape,T Stubbs
info,player,Sunrisers Eastern Cape,JM Coles
info,player,Sunrisers Eastern Cape,M Jansen
info,player,Sunrisers Eastern Cape,L Gregory
info,player,Sunrisers Eastern Cape,S Muthusamy
info,player,Sunrisers Eastern Cape,A Nortje
info,player,Sunrisers Eastern Cape,AF Milne
info,player,Joburg Super Kings,JM Vince
info,player,Joburg Super Kings,R Moonsamy
info,player,Joburg Super Kings,MS Pepper
info,player,Joburg Super Kings,D Forrester
info,player,Joburg Super Kings,M De Villiers
info,player,Joburg Super Kings,PWA Mulder
info,player,Joburg Super Kings,D Ferreira
info,player,Joburg Super Kings,AJ Hosein
info,player,Joburg Super Kings,N Burger
info,player,Joburg Super Kings,Imran Tahir
info,player,Joburg Super Kings,RJ Gleeson
info,registry,people,A Jacobs,70d117de
info,registry,people,A Nortje,acdc62f5
info,registry,people,A Olivier,ccc12fa6
info,registry,people,AF Milne,350bb1b1
info,registry,people,AJ Hosein,4d7f517e
info,registry,people,D Ferreira,f0af99a7
info,registry,people,D Forrester,23393635
info,registry,people,Imran Tahir,acee4cc4
info,registry,people,J Hermann,e87aeca2
info,registry,people,JM Bairstow,abb83e27
info,registry,people,JM Coles,9c643d7b
info,registry,people,JM Vince,a15618fe
info,registry,people,L Gregory,06c2de82
info,registry,people,Lauren Agenbag,40849abd
info,registry,people,M De Villiers,e9aaf862
info,registry,people,M Jansen,81c36ee9
info,registry,people,MP Breetzke,35f173a0
info,registry,people,MS Pepper,270e4c23
info,registry,people,N Burger,465aa633
info,registry,people,PWA Mulder,c96f6ac5
info,registry,people,Q de Kock,372455c4
info,registry,people,R Moonsamy,29e676b0
info,registry,people,RJ Gleeson,402f8494
info,registry,people,S Muthusamy,7dfb8890
info,registry,people,SA Fritz,d15e60c8
info,registry,people,Stephen Harris,fdcfd4aa
info,registry,people,T Stubbs,85b3fab2
ball,1,0.1,Sunrisers Eastern Cape,JM Bairstow,Q de Kock,D Ferreira,1,0,,,,,,"",""
ball,1,0.2,Sunrisers Eastern Cape,Q de Kock,JM Bairstow,D Ferreira,0,0,,,,,,"",""
ball,1,0.3,Sunrisers Eastern Cape,Q de Kock,JM Bairstow,D Ferreira,1,0,,,,,,"",""
ball,1,0.4,Sunrisers Eastern Cape,JM Bairstow,Q de Kock,D Ferreira,1,0,,,,,,"",""
ball,1,0.5,Sunrisers Eastern Cape,Q de Kock,JM Bairstow,D Ferreira,6,0,,,,,,"",""
ball,1,0.6,Sunrisers Eastern Cape,Q de Kock,JM Bairstow,D Ferreira,1,0,,,,,,"",""
ball,1,1.1,Sunrisers Eastern Cape,Q de Kock,JM Bairstow,RJ Gleeson,4,0,,,,,,"",""
ball,1,1.2,Sunrisers Eastern Cape,Q de Kock,JM Bairstow,RJ Gleeson,1,0,,,,,,"",""
ball,1,1.3,Sunrisers Eastern Cape,JM Bairstow,Q de Kock,RJ Gleeson,1,0,,,,,,"",""
ball,1,1.4,Sunrisers Eastern Cape,Q de Kock,JM Bairstow,RJ Gleeson,4,0,,,,,,"",""
ball,1,1.5,Sunrisers Eastern Cape,Q de Kock,JM Bairstow,RJ Gleeson,1,0,,,,,,"",""
ball,1,1.6,Sunrisers Eastern Cape,JM Bairstow,Q de Kock,RJ Gleeson,4,0,,,,,,"",""
ball,1,2.1,Sunrisers Eastern Cape,Q de Kock,JM Bairstow,N Burger,4,0,,,,,,"",""
ball,1,2.2,Sunrisers Eastern Cape,Q de Kock,JM Bairstow,N Burger,0,0,,,,,,"",""
ball,1,2.3,Sunrisers Eastern Cape,Q de Kock,JM Bairstow,N Burger,0,0,,,,,,"",""
ball,1,2.4,Sunrisers Eastern Cape,Q de Kock,JM Bairstow,N Burger,0,0,,,,,,"",""
ball,1,2.5,Sunrisers Eastern Cape,Q de Kock,JM Bairstow,N Burger,0,0,,,,,,"",""
ball,1,2.6,Sunrisers Eastern Cape,Q de Kock,JM Bairstow,N Burger,0,0,,,,,,"",""
ball,1,3.1,Sunrisers Eastern Cape,JM Bairstow,Q de Kock,AJ Hosein,0,0,,,,,,"",""
ball,1,3.2,Sunrisers Eastern Cape,JM Bairstow,Q de Kock,AJ Hosein,0,0,,,,,,"",""
ball,1,3.3,Sunrisers Eastern Cape,JM Bairstow,Q de Kock,AJ Hosein,1,0,,,,,,"",""
ball,1,3.4,Sunrisers Eastern Cape,Q de Kock,JM Bairstow,AJ Hosein,4,0,,,,,,"",""
ball,1,3.5,Sunrisers Eastern Cape,Q de Kock,JM Bairstow,AJ Hosein,2,0,,,,,,"",""
ball,1,3.6,Sunrisers Eastern Cape,Q de Kock,JM Bairstow,AJ Hosein,1,0,,,,,,"",""
ball,1,4.1,Sunrisers Eastern Cape,Q de Kock,JM Bairstow,N Burger,1,0,,,,,,"",""
ball,1,4.2,Sunrisers Eastern Cape,JM Bairstow,Q de Kock,N Burger,4,0,,,,,,"",""
ball,1,4.3,Sunrisers Eastern Cape,JM Bairstow,Q de Kock,N Burger,6,0,,,,,,"",""
ball,1,4.4,Sunrisers Eastern Cape,JM Bairstow,Q de Kock,N Burger,0,0,,,,,,bowled,JM Bairstow
ball,1,4.5,Sunrisers Eastern Cape,MP Breetzke,Q de Kock,N Burger,0,0,,,,,,"",""
ball,1,4.6,Sunrisers Eastern Cape,MP Breetzke,Q de Kock,N Burger,1,0,,,,,,"",""
ball,1,5.1,Sunrisers Eastern Cape,MP Breetzke,Q de Kock,AJ Hosein,0,0,,,,,,"",""
ball,1,5.2,Sunrisers Eastern Cape,MP Breetzke,Q de Kock,AJ Hosein,2,0,,,,,,"",""
ball,1,5.3,Sunrisers Eastern Cape,MP Breetzke,Q de Kock,AJ Hosein,0,0,,,,,,caught,MP Breetzke
ball,1,5.4,Sunrisers Eastern Cape,J Hermann,Q de Kock,AJ Hosein,0,0,,,,,,"",""
ball,1,5.5,Sunrisers Eastern Cape,J Hermann,Q de Kock,AJ Hosein,0,0,,,,,,"",""
ball,1,5.6,Sunrisers Eastern Cape,J Hermann,Q de Kock,AJ Hosein,4,0,,,,,,"",""
ball,1,6.1,Sunrisers Eastern Cape,Q de Kock,J Hermann,D Ferreira,1,0,,,,,,"",""
ball,1,6.2,Sunrisers Eastern Cape,J Hermann,Q de Kock,D Ferreira,0,1,1,,,,,"",""
ball,1,6.3,Sunrisers Eastern Cape,J Hermann,Q de Kock,D Ferreira,1,0,,,,,,"",""
