version,1.7.0
info,balls_per_over,6
info,team,South Africa
info,team,New Zealand
info,gender,male
info,season,2002/03
info,date,2003/02/16
info,event,ICC World Cup
info,match_number,15
info,venue,"New Wanderers Stadium, Johannesburg"
info,city,Johannesburg
info,toss_winner,South Africa
info,toss_decision,bat
info,player_of_match,SP Fleming
info,umpire,P Willey
info,umpire,SA Bucknor
info,tv_umpire,DJ Harper
info,match_referee,Wasim Raja
info,winner,New Zealand
info,winner_wickets,9
info,method,D/L
info,player,South Africa,GC Smith
info,player,South Africa,HH Gibbs
info,player,South Africa,N Boje
info,player,South Africa,JH Kallis
info,player,South Africa,MV Boucher
info,player,South Africa,L Klusener
info,player,South Africa,SM Pollock
info,player,South Africa,G Kirsten
info,player,South Africa,HH Dippenaar
info,player,South Africa,M Ntini
info,player,South Africa,AA Donald
info,player,New Zealand,CD McMillan
info,player,New Zealand,SP Fleming
info,player,New Zealand,NJ Astle
info,player,New Zealand,SB Styris
info,player,New Zealand,CL Cairns
info,player,New Zealand,L Vincent
info,player,New Zealand,BB McCullum
info,player,New Zealand,JDP Oram
info,player,New Zealand,AR Adams
info,player,New Zealand,DL Vettori
info,player,New Zealand,SE Bond
info,registry,people,AA Donald,4c931d56
info,registry,people,AR Adams,525c3f54
info,registry,people,BB McCullum,b8a55852
info,registry,people,CD McMillan,f5390243
info,registry,people,CL Cairns,0b130202
info,registry,people,DJ Harper,0ec08b27
info,registry,people,DL Vettori,d7c6af50
info,registry,people,G Kirsten,ad48eb56
info,registry,people,GC Smith,72861603
info,registry,people,HH Dippenaar,98ecf62a
info,registry,people,HH Gibbs,e1d1b294
info,registry,people,JDP Oram,3eac9d95
info,registry,people,JH Kallis,86dc8f2e
info,registry,people,L Klusener,c0790f82
info,registry,people,L Vincent,2764133a
info,registry,people,M Ntini,20a941bb
info,registry,people,MV Boucher,f3cb53a1
info,registry,people,N Boje,6a0537aa
info,registry,people,NJ Astle,99639abf
info,registry,people,P Willey,1b647f99
info,registry,people,SA Bucknor,2ad22b51
info,registry,people,SB Styris,57efa3be
info,registry,people,SE Bond,4f629497
info,registry,people,SM Pollock,88fccd6c
info,registry,people,SP Fleming,eea6b7f1
info,registry,people,Wasim Raja,d8bce357
ball,1,0.1,South Africa,GC Smith,HH Gibbs,SE Bond,0,0,,,,,,"",""
ball,1,0.2,South Africa,GC Smith,HH Gibbs,SE Bond,0,0,,,,,,"",""
ball,1,0.3,South Africa,GC Smith,HH Gibbs,SE Bond,0,1,1,,,,,"",""
ball,1,0.4,South Africa,GC Smith,HH Gibbs,SE Bond,0,1,,1,,,,"",""
ball,1,0.5,South Africa,GC Smith,HH Gibbs,SE Bond,0,0,,,,,,"",""
ball,1,0.6,South Africa,GC Smith,HH Gibbs,SE Bond,0,0,,,,,,"",""
ball,1,0.7,South Africa,GC Smith,HH Gibbs,SE Bond,0,0,,,,,,"",""
ball,1,0.8,South Africa,GC Smith,HH Gibbs,SE Bond,4,0,,,,,,"",""
ball,1,1.1,South Africa,HH Gibbs,GC Smith,AR Adams,0,0,,,,,,"",""
ball,1,1.2,South Africa,HH Gibbs,GC Smith,AR Adams,0,0,,,,,,"",""
ball,1,1.3,South Africa,HH Gibbs,GC Smith,AR Adams,2,0,,,,,,"",""
ball,1,1.4,South Africa,HH Gibbs,GC Smith,AR Adams,0,0,,,,,,"",""
ball,1,1.5,South Africa,HH Gibbs,GC Smith,AR Adams,0,0,,,,,,"",""
ball,1,1.6,South Africa,HH Gibbs,GC Smith,AR Adams,0,0,,,,,,"",""
ball,1,2.1,South Africa,GC Smith,HH Gibbs,SE Bond,0,0,,,,,,"",""
ball,1,2.2,South Africa,GC Smith,HH Gibbs,SE Bond,0,0,,,,,,"",""
ball,1,2.3,South Africa,GC Smith,HH Gibbs,SE Bond,0,1,1,,,,,"",""
ball,1,2.4,South Africa,GC Smith,HH Gibbs,SE Bond,0,0,,,,,,"",""
ball,1,2.5,South Africa,GC Smith,HH Gibbs,SE Bond,4,0,,,,,,"",""
ball,1,2.6,South Africa,GC Smith,HH Gibbs,SE Bond,4,0,,,,,,"",""
ball,1,2.7,South Africa,GC Smith,HH Gibbs,SE Bond,4,0,,,,,,"",""
ball,1,3.1,South Africa,HH Gibbs,GC Smith,AR Adams,0,0,,,,,,"",""
ball,1,3.2,South Africa,HH Gibbs,GC Smith,AR Adams,2,0,,,,,,"",""
