version,1.6.0
info,balls_per_over,6
info,team,Jamaica Tallawahs
info,team,St Kitts and Nevis Patriots
info,gender,male
info,season,2018
info,date,2018/08/15
info,event,Caribbean Premier League
info,match_number,8
info,venue,"Sabina Park, Kingston"
info,city,Jamaica
info,toss_winner,St Kitts and Nevis Patriots
info,toss_decision,field
info,player_of_match,K Lewis
info,umpire,LS Reifer
info,umpire,S George
info,reserve_umpire,PA Gustard
info,tv_umpire,JS Wilson
info,match_referee,D Govindjee
info,winner,Jamaica Tallawahs
info,winner_runs,47
info,player,Jamaica Tallawahs,K Lewis
info,player,Jamaica Tallawahs,GD Phillips
info,player,Jamaica Tallawahs,AM McCarthy
info,player,Jamaica Tallawahs,LRPL Taylor
info,player,Jamaica Tallawahs,R Powell
info,player,Jamaica Tallawahs,AD Russell
info,player,Jamaica Tallawahs,Imad Wasim
info,player,Jamaica Tallawahs,SA Jacobs
info,player,Jamaica Tallawahs,K Santokie
info,player,Jamaica Tallawahs,A Zampa
info,player,Jamaica Tallawahs,O Thomas
info,player,St Kitts and Nevis Patriots,CH Gayle
info,player,St Kitts and Nevis Patriots,E Lewis
info,player,St Kitts and Nevis Patriots,TLW Cooper
info,player,St Kitts and Nevis Patriots,DC Thomas
info,player,St Kitts and Nevis Patriots,AP Devcich
info,player,St Kitts and Nevis Patriots,Mahmudullah
info,player,St Kitts and Nevis Patriots,BCJ Cutting
info,player,St Kitts and Nevis Patriots,CR Brathwaite
info,player,St Kitts and Nevis Patriots,JS Louis
info,player,St Kitts and Nevis Patriots,SS Cottrell
info,player,St Kitts and Nevis Patriots,S Lamichhane
info,registry,people,A Zampa,14f96089
info,registry,people,AD Russell,bbd41817
info,registry,people,AM McCarthy,7f148ce7
info,registry,people,AP Devcich,ed90abe4
info,registry,people,BCJ Cutting,2e11c706
info,registry,people,CH Gayle,db584dad
info,registry,people,CR Brathwaite,e342e5fb
info,registry,people,D Govindjee,8b4c4069
info,registry,people,DC Thomas,08a4f9ad
info,registry,people,E Lewis,0ebfb1ad
info,registry,people,GD Phillips,9a46c4e5
info,registry,people,Imad Wasim,9cb8d7a6
info,registry,people,JS Louis,8ae98a8e
info,registry,people,JS Wilson,d7f3b72f
info,registry,people,K Lewis,b0081e62
info,registry,people,K Santokie,531f0278
info,registry,people,LRPL Taylor,b61a3e1a
info,registry,people,LS Reifer,5dee559a
info,registry,people,Mahmudullah,bf1d7d3e
info,registry,people,O Thomas,c6097d68
info,registry,people,PA Gustard,25bcf808
info,registry,people,R Powell,650d5e49
info,registry,people,S George,6d9e5a54
info,registry,people,S Lamichhane,b410bd3d
info,registry,people,SA Jacobs,f8cdc4d7
info,registry,people,SS Cottrell,a1d053dd
info,registry,people,TLW Cooper,2318ba22
ball,1,0.1,Jamaica Tallawahs,K Lewis,GD Phillips,SS Cottrell,0,1,,,,1,,"",""
ball,1,0.2,Jamaica Tallawahs,GD Phillips,K Lewis,SS Cottrell,0,0,,,,,,"",""
ball,1,0.3,Jamaica Tallawahs,GD Phillips,K Lewis,SS Cottrell,0,0,,,,,,"",""
ball,1,0.4,Jamaica Tallawahs,GD Phillips,K Lewis,SS Cottrell,1,0,,,,,,"",""
ball,1,0.5,Jamaica Tallawahs,K Lewis,GD Phillips,SS Cottrell,0,1,1,,,,,"",""
ball,1,0.6,Jamaica Tallawahs,K Lewis,GD Phillips,SS Cottrell,2,0,,,,,,"",""
ball,1,0.7,Jamaica Tallawahs,K Lewis,GD Phillips,SS Cottrell,1,0,,,,,,"",""
ball,1,1.1,Jamaica Tallawahs,K Lewis,GD Phillips,JS Louis,6,0,,,,,,"",""
ball,1,1.2,Jamaica Tallawahs,K Lewis,GD Phillips,JS Louis,4,0,,,,,,"",""
ball,1,1.3,Jamaica Tallawahs,K Lewis,GD Phillips,JS Louis,0,0,,,,,,"",""
ball,1,1.4,Jamaica Tallawahs,K Lewis,GD Phillips,JS Louis,0,0,,,,,,"",""
ball,1,1.5,Jamaica Tallawahs,K Lewis,GD Phillips,JS Louis,4,0,,,,,,"",""
ball,1,1.6,Jamaica Tallawahs,K Lewis,GD Phillips,JS Louis,0,1,,,,1,,"",""
ball,1,2.1,Jamaica Tallawahs,K Lewis,GD Phillips,SS Cottrell,4,0,,,,,,"",""
ball,1,2.2,Jamaica Tallawahs,K Lewis,GD Phillips,SS Cottrell,0,0,,,,,,"",""
ball,1,2.3,Jamaica Tallawahs,K Lewis,GD Phillips,SS Cottrell,0,0,,,,,,"",""
ball,1,2.4,Jamaica Tallawahs,K Lewis,GD Phillips,SS Cottrell,1,0,,,,,,"",""
ball,1,2.5,Jamaica Tallawahs,GD Phillips,K Lewis,SS Cottrell,4,0,,,,,,"",""
ball,1,2.6,Jamaica Tallawahs,GD Phillips,K Lewis,SS Cottrell,0,0,,,,,,"",""
ball,1,3.1,Jamaica Tallawahs,K Lewis,GD Phillips,AP Devcich,0,0,,,,,,"",""
ball,1,3.2,Jamaica Tallawahs,K Lewis,GD Phillips,AP Devcich,0,1,1,,,,,"",""
ball,1,3.3,Jamaica Tallawahs,K Lewis,GD Phillips,AP Devcich,1,0,,,,,,"",""
ball,1,3.4,Jamaica Tallawahs,GD Phillips,K Lewis,AP Devcich,0,0,,,,,,"",""
ball,1,3.5,Jamaica Tallawahs,GD Phillips,K Lewis,AP Devcich,0,0,,,,,,"",""
ball,1,3.6,Jamaica Tallawahs,GD Phillips,K Lewis,AP Devcich,1,0,,,,,,"",""
